code	store_id	order_number	session	username	shipmode	sku	UPC_No	quantity	price	subtotal	shipping	taxable	size	color	options	order_date	update_date	status	parent	affiliate	campaign	description
WBA32258-1		WBA32258	D28b3bfV	U00239		WBSFARC-50000		2	14.95	29.90					WBSFARC-50000	20080923	2008-09-25 10:18:51	partial				HARD BITE BOOTSTUDS
WBA32259-1		WBA32259	WRMQySFj	U00240		WBSG32-3400D-R-B		1	600.00	600.00					3400D, R, B	20080925	2008-09-25 17:14:42	pending				3400D REEL W/DRAG, BLACK
WBA32259-2		WBA32259	WRMQySFj	U00240		WBSFWGV107-43-70		1	774.95	774.95					WBSFWGV107-43-70	20080925	2008-09-25 17:14:42	pending				G4 GUIDE STOCKINGFOOT 3XL
WBA32259-3		WBA32259	WRMQySFj	U00240		WBSFGWD		1	269.00	269.00					size: ml	20080925	2008-09-25 17:14:42	pending				2007 Guide Waders Discontinued
WBA32260-1		WBA32260	Iw3kiI8c	U00241		WBSFWBE-F-07-30-10		1	429.95	429.95					F, 07	20080927	2008-09-27 10:22:23	pending				EXSTREAM BOOTFOOTS M 10 FELT
WBA32261-1		WBA32261	kMrbRhkb	U00242		WBSFWBE-L-07-40-11		1	399.95	399.95					L, 07	20080928	2008-09-29 08:30:59	partial				EXSTREAM BOOTFOOTS L 11 LUG
WBA32262-1		WBA32262	o6kbmPu7	U00243		WBOR60L6-21-57		1	189.00	189.00					WBOR60L6-21-57	20081001	2008-10-01 11:24:54	pending				WMNS SILVER LABEL II SF WADERS L/PETITE
WBA32263-1		WBA32263	8FW8US2E	U00244		WBSFSS-K10800-12		1	129.95	129.95					K10800, 12	20081002	2008-10-02 13:19:40	partial				HEADWATERS BOOT AQUA 12
WBA32264-1		WBA32264	iaMAhXAC	U00245		WBSFAFP-50000		2	4.95	9.90					WBSFAFP-50000	20081004	2008-10-04 12:23:24	pending				SUPER-FLY PATCH
WBA32266-1		WBA32266	a9WYDfF9	U00247		WBSFWBE-L-07-40-10		1	399.95	399.95					L, 07	20081006	2008-10-07 08:28:39	partial				EXSTREAM BOOTFOOTS L 10 LUG
WBA32266-2		WBA32266	a9WYDfF9	U00247		WBSFOCG10-703-40		1	299.95	299.95					WBSFOCG10-703-40	20081006	2008-10-07 08:28:39	partial				CLASSIC GUIDE JACKET LODEN L
WBA32267-1		WBA32267	6NRX77hd	U00248		WBSFWGV107-43-20		1	699.95	699.95					WBSFWGV107-43-20	20081007	2008-10-07 08:41:42	partial				G4 GUIDE STOCKINGFOOT S
WBA32268-1		WBA32268	8FJCJcGA	U00249		WBSFSGF-10614-12		1	179.95	179.95					WBSFSGF-10614-12	20081007	2008-10-07 09:48:18	partial				G3 BOOT W/ FELT GREY 12
WBA32269-1		WBA32269	r25vjpiE	U00250		WBSFASH-4007		1	16.95	16.95					WBSFASH-4007	20081007	2008-10-07 17:51:37	pending				WASHED TWILLSB CAP KHAKI
WBA32270-1		WBA32270	qIYsxxrn	U00251		WBSFCSZ10-807-30		1	48.95	48.95					WBSFCSZ10-807-30	20081010	2008-10-10 19:18:53	pending				3XDRYSUPERLIGHT ZO PANT LT KHAKI M
WBA32271-1		WBA32271	dw2VtacK	U00252		WBSFOSV10-623-40		1	99.95	99.95					WBSFOSV10-623-40	20081011	2008-10-11 16:01:48	canceled				SUPERLT INSUL VEST LODEN L
WBA32272-1		WBA32272	PIUZFGFK	U00253		WBSFLRS108-43-30		1	129.95	129.95					43, 30	20081011	2008-10-12 09:35:09	partial				RIVERSHED SWEATER (NEW FOR FALL 2008), Sterling, M
