SKU,Manufacturer_ID,Brand_Name,Product_Name,Short_Description,Category,Subcategory,Thumb_URL,Image_URL,Buy_Link,Retail_Price
WBSFWFZ109,freestone_zippered_stkgft,Simms,Freestone Zippered Stockingfoot,This new Freestone Wader offers the convenience of a center-front zipper in a durable waterproof fabric from Toray® - at a competitive price that won't sink your budget., Equipment,Waders,http://www.westbranchangler.com/site/images/items/120x120/simms_freestone_zippered_wader.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_freestone_zippered_wader.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWFZ109,299.95
WBSFSGF,g3_guide_boot_felt,Simms,G3 Guide Boot Felt,"Introduced in 2007, the G3's offer exceptional comfort, stability and durability in an easy to clean, durable leather boot.",Clothing,Boots,http://www.westbranchangler.com/site/images/items/120x120/g3_guide_boot_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/g3_guide_boot_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFSGF,179.95
WBSFWPG10,g3_guide_convertible,Simms,G3 GUIDE CONVERTIBLE ,"Finally, our most durable wader converts to a pant. Cool wearing in the most durable GORE-TEX® Pro Shell fabric.",Clothing,Waders,http://www.westbranchangler.com/site/images/items/120x120/g3_guide_conv.jpg,http://www.westbranchangler.com/site/images/items/325x325/g3_guide_conv.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWPG10,379.95
WBSFRJ,g3_guide_jacket_09,Simms,G3 GUIDE JACKET     ,"Like our G3 waders, the G3 Guide jacket is the finest product of its kind you can purchase.",Clothing,Outerwear,http://www.westbranchangler.com/site/images/items/120x120/b3_jacket_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/b3_jacket_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFRJ,399.95
WBSFWGP10,g3_guide_stockingfoots_s8,Simms,G3 GUIDE STOCKINGFOOTS,An updated version of our top selling wader now with GORE-TEX Pro Shell fabric - and at a great new price.,Clothing,Waders,http://www.westbranchangler.com/site/images/items/120x120/g3_guide_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/g3_guide_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWGP10,399.95
WBSFVG5,g3_guide_vest_09,Simms,G3 GUIDE VEST,"The G3 is an incredibly functional, great-looking, high-tech vest.",Clothing,Vests,http://www.westbranchangler.com/site/images/items/120x120/g3_vest_orange.jpg,http://www.westbranchangler.com/site/images/items/325x325/g3_vest_orange.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFVG5,179.95
WBSFSG4109,g4_guide_boot,Simms,G4 GUIDE WADING BOOT ,This is the hardest working boot that Simms offers. The G4 utilizes leather and Schoeller® fabric technology.,Clothing,Boots,http://www.westbranchangler.com/site/images/items/120x120/simms_g4_boot_vibram_streamtread.jpg,http://www.westbranchangler.com/site/images/items/325x325/simms_g4_boot_vibram_streamtread.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFSG4109,219.95
WBSFWGV107,g4_guide_stgft_wader_2007,Simms,G4Z Stockingfoots,"Introduced in 2007, this award-winning wader is the benchmark wader for comfort, durability, performance and convenience.",Clothing,Waders,http://www.westbranchangler.com/site/images/items/120x120/g4_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/g4_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWGV107,699.95
WBSFOGG10,g4_pro_jacket,Simms,G4 PRO JACKET,The next generation in rain jackets - the G4 Pro Jacket is our most technical jacket and features GORE-TEX® Pro Shell fabric for incredible performance and durability.,Clothing,Outerwear,http://www.westbranchangler.com/site/images/items/120x120/g4_pro_jack_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/g4_pro_jack_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFOGG10,449.95
WBSFWGV10,g4_pro_stockingfoots,Simms,G4 Pro Stockingfoots,Our highest performing GORE-TEX® Pro Shell fabric wader built for the most demanding angler. The G4 Guide Wader without a zipper!,Clothing,Waders,http://www.westbranchangler.com/site/images/items/120x120/g4_pro_large.jpg,http://www.westbranchangler.com/site/images/items/325x325/g4_pro_large.jpg,http://www.westbranchangler.com/cgi-bin/site/WBSFWGV10,499.95
