code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
200		1					scan/co=yes/fi=products/sf=category/se=Equipment/op=eq/sf=prod_group/se=Fly Rod/op=eq/tf=description		Fly Rod		0								
201		2					WBSG2004		BASS FLY ROD SERIES		0								
202		2					WBSG237		FLI FLY ROD SERIES		0								
203		2					WBSG241		LAUNCH FLY ROD SERIES		0								
204		2					WBSG204		TCR FLY ROD SERIES		0								
205		2					WBSG258		TXL FLY ROD SERIES		0								
206		2					WBSG2000		VT2 FLY ROD SERIES		0								
207		2					WBSG217		XI2 FLY ROD SERIES		0								
208		2					WBSG2001		Z-AXIS FLY ROD SERIES		0								
209		2					WBSG2003		ZXL FLY ROD SERIES		0								
210		1					scan/co=yes/fi=products/sf=category/se=Equipment/op=eq/sf=prod_group/se=Reel/op=eq/tf=description		Reel		0								
211		2					WBSG320		2500 FLY REEL SERIES		0								
212		2					WBSG32		3000 SERIES FLY REEL (DISK DRAG)		0								
213		2					WBSG330		MODEL 1600 / 1800 FLY REELS		0								
